MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;07/02/2002;10:50:00;;0,113;+.113E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;15/11/2002;11:36:00;;0,271;+.271E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;13/12/2002;00:00:00;;1,00E+12;1,00E+12;;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;15/01/2003;12:56:00;;0,154;+.154E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;13/02/2003;12:02:00;;0,128;+.128E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;10/11/2003;16:20:00;;0,198;+.198E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;10/12/2003;16:09:00;;0,221;+.221E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;12/01/2004;18:10:00;;0,177;+.177E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;16/02/2004;10:44:00;;1,00E+12;1,00E+12;;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;08/11/2004;11:35:00;;0,228;+.228E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;09/12/2004;12:39:00;;0,159;+.159E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;11/01/2005;15:57:00;;0,082;+.82E-01;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;10/02/2005;16:31:00;;0,117;+.117E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
