MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;18/01/2021;23:31:00;;80;80;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;19/01/2021;05:36:00;;-66;-66;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;19/01/2021;08:53:00;;43;43;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;19/01/2021;17:31:00;;-85;-85;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;20/01/2021;00:05:00;;73;73;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;20/01/2021;06:10:00;;-61;-61;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;20/01/2021;09:48:00;;43;43;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;20/01/2021;18:05:00;;-79;-79;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;21/01/2021;00:40:00;;65;65;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;21/01/2021;06:46:00;;-56;-56;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
